Text,Sentiment
@humbug83 Aaaaw no!Ę Are the windows open and that?,-1
honestly i cannot figure this twitter thing out,-1
i wish i could go to meet in the middle tomorrow.,1
is super stressed!,-1
is sad to go to work cuz it's TermiNeda's last day...and little monkey's last day too,-1
@demetridadon well what about tomorrow? I miss you,-1
fuck you ipod for freezing when i need you most,-1
@emILLyschwindt thanks lady.... bummer for sure.,1
My student just walked in balling.Ę She just witnessed her dog getting hit on the street.Ę I don't know what to do to cheer her up.,-1
@GatorsNow my feelings are hurt,-1
Oh man....my fiance just got off work and I start mine in 1 hour....so not fair.....,-1
@MelanieDawn Forgot about the trafficĘ Heading to Foxford in Mayo and the lovely Pontoon tomorrow,1
Turned my alarm off this morning because I thought it was Saturday. Had to rush to get ready for work because its def not Saturday Ę #FAIL,-1
@daisyamy me too i hate revision,-1
@Lizzidoll I wish I was in va too,1
@KimKardashian i was watchin tv yesterday and the media is on u. u were number five i think for worst beach bodies because of ur butt,-1
"@MikeandBobShow Ę Awww, that wasn't very nice.",-1
@Kacey3 I didn't read the details so that may be it. Sara Jayne is a kid's show so it can't be that exciting.,-1
"I also want it to be the 6th, i miss my girlies so muchĘ @georgielockwood WE GET TO BE ROOMIES AGAIN!",-1
Frank from UPS' last day today...Ę sad to see him go Ę best delivery guy EVER!Ę Hope the new guy is NOT a fucktard...,-1
Dont worry babe,1
"@MargaretEnright YES!! I made the sign when i noticed it missing on Sunday! So far, no luck... It's now Unlucky Japanese Cat...",-1
@Cheapflights_ukĘ o2 - train from Bristol to London. It's terrible - and no wifi,-1
its so sad when the dad diesĘ hakuna matana it means no worries for...,-1
"Visit 2Ę La Ventana de los Cielos foundation was pushed bck 2 weeks,Ę was so excited 2 go &amp; meet the kids. I'll have 2 wait another 2 wks",-1
Picking up a couple toys tonight! D300 and 50mm f/1.4! YAY!! :-D Just for the weekend though,1
Didn't sleep good last night. Woke up with another bellyacheĘ what's wrong with meeeeeee.,-1
@_supernatural_ http://twitpic.com/6695k - Awwww poor boys! *cries* So sad..,-1
@andyjih Yep...sadly I only had 10 min before a meeting!,-1
@rachaely57 Yes! Haha and then when he impaled himself with the crossed keys!Ę Love Scottish-trying-to-be-Irish Ewan McGregor,1
is thinking WOW I survived Freshman year...Mission Accomplished...Now Sophomore year,1
"Ouch, my back. Man I'm sick",-1
@MaXXXimumMyra I am lost. Please help me find a good home.,-1
@Katt53 no news on the kid. They can't find the parent!,-1
"is in class, trying to listen but I really like twitter, facebook, .&amp; myspaceĘ oh yeaaah .&amp; I'm hungry!",1
hmmmmŔ_being home isn't *all* greatĘ http://u.nu/8m68,1
"So, I'm at the point now that it has become apparent that having a degree means jack shit.",-1
@957TheBeat i want magic mountain tix but i dont get ur station out in pasoĘ boo sux for me,-1
My shirt is a fuzz magnet today and I feel totally uncomfortable,-1
Trying my best not to share this lovely head cold,1
"@CharPowerĘ I gave up cable in these tough economic times.Ę it was either cable or shoes, and you know what cable lost",1
@ohitsbigron Dang... that IS disappointing,-1
"Wicked, my DVB-S tuner card has arrived. Although not sure I'll be able to get it all set up ready for the FA Cup final tomorrow",-1
stupid HIP!! I hate you!! And I can't even break in my new kicks!!!Ę GRRRR!,-1
"TGIF.,..i wish that saying applied to me, but i work Saturdays",1
sad assemblyĘ next block,-1
10-Year-Old Girl Battles Rare Breast CancerĘ http://bit.ly/JPe9c,1
@epiphanygirl Wish I was in Dallas.. Can I still say ow!? lol Hey... u spelled my name wrongĘ It's all good. Thanks for #FF love,1
@Petrolhead159 Unfortunately I didn't see any of that spreading of poo,-1
"Woo, Hulu Desktop! My poor Mac is kinda struggling with it though, poor little Core Duo just can't keep up",-1
why are matters of the heart so complicated?,-1
My son had surgery yesterday so mommy and son time won't be as long today,-1
@artfirejohn Do you think the bead crumb navigation will return to the new Fusion studios? I really miss that at the top of each item.,-1
I did many things but missed tweeting,-1
@RobbiedaKid no I was too slowĘ I hate getting the trailhead then not getting in.,-1
@elizabiteĘ I'm so sorry.Ę I don't understand why some people expect everyone to react to these things with the same &quot;poise&quot; as themselves,-1
@carolkoh Sorry to hear that Carol.,-1
@THE_WOCKEEZ I'm missin u guys by a day!! Ill b there tomorrowĘ butttt see u june 18th with the blockkkkk!!!!,-1
@EFCuttin so where r u spinning now that the Hookah is R.I.P.?,-1
"@gonepie thats what doting husbands are for LOL!!Ę I hope that once my braces go on, I can eat normally again",1
just thought about how unfair 3 ppl have been 2 me n got depressed againĘ HATERS!!!,-1
Have a slight headache,-1
@Zanti1 Are you guys gonna get the metal detector from the Brickmans? I saw Chad ask Davey on FB. Sorry 'bout your ring,-1
"@zzwhitejd did you decide it is a sprain? mine has been bothering me again, but never had it checked out",-1
@mikebugout Nooooo!Ę Working this weekend,-1
this weekends abouttttto SUCK,-1
"@wood83 Ę Does she like it, or does she roll her eyes?Ę Now I'm curious as hell!Ę Good singing is a real treat as far am I'm concerned!",1
"@glamorousamanda I wish i could have a pole, we got no space for itĘ maybe i should throw out some furniture and get a pole",1
Oh MAN !! I was going to connect my old school Nintendo to play mario games. And is not in the bag I gotta search for it.,-1
one of my cat's is sick,-1
A thursday. Is that REALLY necessary @jonasbrothers ? Have u ever heard of school and horrible mums,-1
@freecitysoul my film didn't come outĘ the camera was broken. lamesauce.,-1
I think I'm about to break my own heart. (as emo as that sounds)... meh.,-1
Is tired n wants to sleep in her own bed,-1
dammit i cant watch stadium music,-1
"We waste way too much paper @ the office... for nothing worthy, that almost disgust me",-1
@karneee love it! Really its simple i think of a word and put twi on the front i should be more clever,1
@kweenie Are you in Galbladia Garden? That shit is hard.,-1
so...i really want to be home right now.,1
at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,-1
Felt one tooth without the braces bracket. I got soooo hype,-1
@jamiehigh !!!!Ę glad you're alright!,1
I'm so disgusted that my assumptions regarding what happened in Harlem last night were 100% correct without reading the story first.,-1
"My poor wife.Ę I'm laid up for another 6 hours on doctors orders, then can't do much and she is dealing with screaming baby",-1
@captaincarrottĘ you're mean to me. You're gonna have to have pizza tonight or it will go off.,-1
"@LizzieCoulter oh dear. (I'm sorry, but i laughedĘ )",-1
http://www.bodybuilding.com/fun/richardchan.htm OMFG this dude looks well 'ard! He puts me to shame...,-1
@aidadoll he thinks he's a gangsterrrĘ his ass don't even fit in G Unit. &amp; I know :| ))))),-1
@dooce I don't. I hope it takes them a good long while to recover.,1
this phyllis hyman unsung story is so SAD,-1
Sites that republish my blog's feed often end up higher than my blog on Google search results,-1
Moving makes me sore.Ę Dunno if we are gonna make it! Ę Its getting close!,-1
"now i am doing the MicroEconomics projectĘ ihate this subject &amp; beside that i have the english ILETS exam tomorrow, waaa ,HELP !!",-1
my shoes hurt my feet,-1
at work with a HUGE headache,-1
i feel like shit,-1
@maximillian62 Oh dear... that's just... disturbing. Ę The coffee connoisseur in me just died a little.,-1
Youtube isn't working...and I wanted to watch Britains Got Talent.Ę I'm debating about having a pity party.,-1
@MattTerry You can't make it down to NYC at all when I'm there huh?,-1
Got people don't let me skip sci pratical becos skola is impt and dont waste my parents money.Ę Nt fair.,-1
Woot. just had my interview! went awsome! I didn't get to talk with Mr. Johnny thought...Ę oh well I still did really good!,1
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,-1
my knees are sore after physio,-1
"I hate having to put my toddler in a disposable, but her rash needs ointment. I hate her having a rash even worse.",-1
Off to Dollarama -- I wish I had a new job,1
im tweeting... this is so hard... i dont get it...,-1
Looking for a show to turn my brain into mush so it doesn't hurt anymoreĘ Any good FREE online ones you know of?,1
My coffee got cold blah!,-1
i lost my phone.,-1
"..Get Over On His Mom &amp; Now I Feel Horrible, He Must Think I am.Ę That's Not What I Meant. Just Thought It'd Be Better Than The Brunt.",-1
14 more days with slow internet,-1
OMGoodness back to school soon FUN!,1
"@_katieedwards I can't yet back, I've run out of texts!Ę I'll ring you laters xoxo",-1
Tired with a headacheĘ me no like sunshine,-1
Got people don't let me skip sci pratical becos skola is impt and cannot waste my parents money.Ę Nt fair.,-1
died again in KPĘ .. gonna upgrade some of my spells now first before heading back there... #eq2,-1
hate living down here in fl. missing GA like crazy...like they say you dont know what you got till its goneĘ GA on my mind,-1
"crap. have to break my &quot;no work in weekend&quot; ruleĘ so much overloaded with work. aargh, hate it!",-1
@h269 revising as uni exams are looming,-1
"YM, meebo &amp; ebuddy really hate usĘ @kuhrabbyPATTY @whatsuppp @ashpolicarpio @cheyennelaxa @piaatrinidad",-1
I'm going to miss the seniors so much!Ę Don't goo!,-1
Poor Nicole just absolutely DESTROYED her cell phone,-1
@djknucklehead im listening to people saying eww at out current frog disectionĘ poor froggy.,-1
kate is leaving me all by my lonesome,-1
I REALLYĘ should have gone to the Chiropractor this week . . And todayĘ my neck hurts so bad,-1
Ordered a new computer! Unfortunately it won't get here until the end of June.,-1
Two dozen roses sentĘ overnight and delivered this morning. Just found out the recipient is out of town!! Sad,-1
Don't you hate it when you're left with one slice of bread left in the bag? Half sandwich.,-1
.. these holidays are soo boring..,-1
Ewww just printed my new I.d badge thingie 4 work n eww my picture. I took so many n they were all ugly,-1
just about to say goodbye to @karenbrady and @agneslikaite two of the best interns that Elevate have ever had,1
Bad migrane and need to go to dancing tonight.... Not a good combination,-1
Is wondering if my ankle will ever stop hurting,-1
@godiegogo12 well atm anyway i'm only managing cos i have no musical talent ps horrible thing to say bout rove,-1
has two tickets to Amadou and Miriam for Tue. June 2 that I can't useĘ $25 each to anyone who wants 'em. That's face value. Should be good,1
@CientifiQ stinksĘ what do you do anyway?,-1
"This really hurts. And this really sucks. I don't know what I can do to fix all this, seriously.",-1
@snuffleupagous I really wish I could convince Brandon to move somewhere like that. All he wants to do is move to Lexington.,1
@chelsea_playboy R.I.P curls,-1
@waynooooo I always hope they will die out but then i see the the old ones and it makes me sad,-1
I didn't go to the gym today and I feel bad,-1
http://twitpic.com/66roi - Man I miss this truck so much!Ę had to return it cause it was 687.00 a month and 236.00 ins a month on it : ...,-1
PayPal hates me.Ę It refuses to let me verify my account.,-1
the commies at their finest: youtube and blogger are blocked in china. no updates from us while we are in china.Ę but GREAT WALL CONQUERED,1
@MGGubler Sounds painful Ę Sorry you got hurt.. And may I ask how this happen?,-1
god opened the clouds and said i hate you josh,-1
@kdc well there go my peace corps prospects.,1
"Gee I'm totally hatin' this , like for real ! I mean like, duh ! I've studied enough, and all that I need is refreshing tonite ! Hard ?",-1
"@bcyde I still haven't figured out what to do with them, sadlyĘ So It'll take some more research before I know what's what.",-1
@mommyto6kids oh great.,1
wishes he could be with that special someone....,1
"omfg, my head",-1
@jodywhitesides So sorry I missed it!,-1
I hate that I am so stinkin tired everyday!Ę It's so hard to get up...I thought I was supposed to start getting energy back now.,-1
I think I might like Twiterfon better than Tweetie now. Recent upgrades from Twiterfon have been great! None from Tweetie,1
Busy day! No time to tweetĘ Bmore what's happening this weekend?,-1
@brookstuh am I not good enough,-1
@judez_xo they were so pretty and took like an hour to doĘ CAN I DO URSSSSS!,1
is tired and sad,-1
@robgokeemusic shopping is therapuetic and i'm all about bettering myself... i need financing for my therapy however,1
@rachellee625 a wet and dirty one now,-1
looks like another sober weekend ahead...,-1
@kathypakĘ that's not good,-1
@Yurges loadsa shizze has happendĘ IM SO UPSET..,-1
I miss laughing till my stomache hurts,-1
why does my life suck?,-1
@Leikela4 glad its nice there. Gray skies and rainy in wisconsin.,1
@Jerome117 that and being so careless with her vocals.,-1
"FreeSat's coverage (Sky dish) is really, really bad at the moment, blocks all over the place, really annoying!",-1
Conference call with HP.Ę They gave me an invalid pass code so I can't attend,-1
@Flickie I'm dead bored. but also dead poor! Student life is a piss take!,-1
Massive headache,-1
My head's THUMPING.,-1
So annoyed I missed Mitch Benn @ Lemon Tree. damn you What's On!,-1
oh no! I just crashed my ball pump,-1
Open office &quot;writer&quot; is weird. I need Word to open word documents correctly,-1
I need to go to sleep before 4am tonight...Ę ... So exhausted.,-1
"Wish we had a garden so we could have a bbq tonight...Ę might set up a lounge bbq type thing, that'll work. #fridayfirehazzard",1
@BetterisLittle when it rains it pours - how true is that? I'm so sorryĘ I hate those kinda times.,-1
sad day... told my students this is my last year here... a lot of crying since..,-1
"Slovakian country side is a refreshing change compared to tarmac and cars, but I am a city boy and need the tarmac",1
@brittanytastic awwĘ that's horrible! xD,-1
@penbleth Don't leave forever! We'll miss you too much,-1
OH. I am just so tired.,-1
@DAC1MM don't know yet.. no word... Ę hopeful though!! and some good stuff happening lately so I'm getting excited!,1
@azboricua No. Its a bugĘ in coding. Go into the forum then do reg. Let me know if that work!,-1
My poor phone is nekkid without its cover.,-1
"According to @momsrising, a quarter of families under six live in poverty.",-1
Sorry I'm not using tweetdeck it's not letting me tweet today,-1
@badlady Think of the prize at the end. So sorry to hear that though.,-1
i realy wanted to go out cause its so nice but everybodys busy,-1
@Art_Advisor haha I'm just going to turn off these things...but then I can't Tweet from my phoneĘ stupid spammers!,-1
"I'm always a little sad to see followers I really like, decide to unfollow me.",-1
Well thats that then. Exam failed and bsc gone,-1
"@ecorazzi Grrr, people suck. I cry when animals die on nature shows.Ę These people are sick. No hunting endangered species!",-1
Have hardly worked out in the last two weeks but am losing weight.Ę Fear I'm losing muscle!!Ę Just made doc. appt. for injured foot,-1
Disneyland was a blast yesterday now back to work,1
I just saw a load of ambulances &amp; police cars &amp; a car smashed up with a roof lying in the road.Ę :&quot;(Ę that's 1 man dead 4 sure.Ę Ę .,-1
"Brilliant day today, got the car washed and got a washing done! Just have to go to work in an hour",1
"@JeffAbel Unfortunately, yes...not outside!",-1
"@AnnieAreYouOhK No, it's annoying and makes us girls that follow sports and are knowledgable look dumb",-1
@jimmiefisher i'm having a hard time using huluĘ have u heard of anyone having problems that uses windows vista?,-1
@inoverflow I need to cancel my appt for 1 have to be home from1-5 for washing machine repair man can I do on the am? So sorry,-1
Awww the boys have no beards?Ę Ę I LIKED THEIR MANLY MAN-NESS [via @zepinklady] #asylm,1
half my class just called me retarded it hurt for real,-1
RIP Omar Edwards - Killed by friendly fire in NYC Ę http://bit.ly/jrM6v,-1
@DJClicheDarknes I haven't had a good homemade flour tortilla in ages.,-1
@aidadoll LMAAAOOOOO that is horrible. Poor thing,-1
Shower. Then back to bed. So sick still.,-1
Everything is annoying me today,-1
"@DermotCarmody cheers mate, still getting over WednesdayĘ You ok? You should be, you are an incredibly wealthy man",1
hateeee history of rock!,-1
hand hurts,-1
@Alice286 lucky girl!!! I work all day tomorrow! and maybe even Monday!!,1
Kinda bummed that I'm gonna miss @mrosenbaum711's return to BG. Now I'll never know what it's like to make love to @james_gunn.,-1
@handlewithcare Awww mate. that's such a shitter,-1
@JamAndHoney and it never arrived. have to wait until Monday now,-1
Ow it hurts,-1
@CashCapone now cash u kno I'm not a hater.....jus upset I don't have my update yet,-1
Ugh I'm so sleepyĘ I think I'm still kinda sick,-1
soo tired.. still kinda angry that i missed the concert,-1
Stupid competition stuff keeps getting in the wayĘ But I am going to get some words in today if it kills me Ę @heather_writes,-1
leaving nowĘ off to get my angry teethed pulled....,-1
Wasabi is recovering from surgeryĘ http://apps.facebook.com/dogbook/profile/view/6121231,1
@Disney_Dreaming what?! miley's gonna quit hannah montana?...i don't wanna believe it!,-1
im grounded tonightĘ i hate stupid silent mode,-1
@Willtothe no...i'm just tired..,-1
Then back to fucking school,-1
Oh boy this is going to be a loooooong day,-1
"1 more goal, Gila!! But his last game is against milan. Dillematic 4 me",-1
"Ok, I'm going outside...wish i was playing basketballĘ oh well...",1
"@ThePaul it's a modded 360, so you can't send it back?Ę That Red Ring of Death sucks!Ę It took weeks to get mine back from Microsoft.",-1
crying real tears,-1
No launch today. Teacher changed plans and we watched a stupid move about tesla,-1
"So yeah, things aren't going so well for me. I'm getting to feel like I haven't felt in a long, long time.",-1
My new car is already giving me problemsĘ That cant be a good sign.,-1
forgot my lunch and no one else is ordering stuffĘ boooooo!,-1
@hilarylanders I knowĘ I think I'm like dieing!,-1
"Soo tired, couldn't get enough sleep",-1
"On the monday, so i wont be able to be with you!Ę i love you",1
My TI89 died. I don't know why.,-1
So sad I'm going to miss seeing Pennywise again this year,-1
@ChrisandCal Thats soooo pretty. Mine havnt flowered for years,1
@VarrenAKABabyV oh no not difficult. It's just nuts that's how you have to market yourselves on home turf,1
@chriss_yst so u are very burntĘ sorry back or front burnt?,-1
Trying to get some work done not too happy about work situation,1
Hates moving,-1
@downtowndiane missed the cutoff for the free chocolateĘ eh well...bikini season is coming.....,-1
Officially out of my aptĘ Learned some stuff about the crazy neighbors that used to live across the hall....scary!,-1
"sooooo, i just dropped my phone.Ę don't text or tweet me, i'm currently banging my face against a spike covered poison ivy infested wall.",-1
Oh no! My kindergarten teacher diedĘ Mrs. Collinson always remembered every student she ever had. Loved that lady.,1
@HiHillaryyy have fun,1
Missin my boo,-1
The chicken noodle soup I made for lunch to feel better just burned my tongue . . .not a good day.,-1
Sitting on the decking reading psychology notes with my ipod and my dog. It's far too warm,-1
@huma_rashid reeeaaaally... why though??Ę ew i hate stockings,-1
missing @ikewii lol. plaid bud. haha. damn i can't do the BG right.,-1
RAM upgrade=done! FF still slow so disabling all add-onsĘ Not sure which ones will make the cut to be honest. It's like Sophie's Choice!,-1
has not finished the bio mols mind mapĘ stupid sheet hid sections from me on the back!,-1
I killed my dill plant again. Why does this happen with dill? It is doing great then suddenly it's dead. http://tinyurl.com/mlh4f5,-1
So boooooredĘ I learned this though! ????????,-1
Sad to be leaving so soon,-1
I feel like shit cause I couldnt sleep last night and went to sleep at 320 n bk up at 6Ę soooo tired!!!,-1
"@PochaccoYoly well, I took it in early '00, graduated in '01. we were the final stage guinea pigsĘ it seriously is a waste of time.",-1
Worst day ever. And its only noon.,-1
listening through the Mendeed discog once again. I still think their disbanding is a loss.Ę #metal,-1
fuck awake at 2 am !Ę i hate sickness,-1
i can't seem to access Restuarant City due to some internet / javascript problem...,-1
Pulled in all directions and not knowing where to go,-1
Having real bad headache..,-1
Fuccin bacc hurts now. Just dragged the long blocc on a piece of wood. From the corner to in my garage.,-1
@JaneHungOz hope the presentation went well today?! tweet me if yr on campus tomorrow - I'll be around from lunch time onwards,1
you wanna know what's worse... my coworker just brewed a fresh cup of coffee and all I can think about is bacon,-1
@Running5k2day Oh no! Hope it's not as bad as it sounds!,1
@SuperWiki i want to gooo,1
@TysonDueck Too bad.,-1
Just found out my Abuelo in Aguadilla is not doing well,-1
@tommcfly Do a tour in the Philippines sometime.Ę A lot of fans here would really love that!,1
@INTYCEYOU hey love whats up! my voice is shotĘ whats new with you,1
@thodwris RIP Michael,-1
Exams are kinda near. Just a week more. 2 Projects yet to be submittedĘ and almost failing in one of the subjects. May ALLAH save me,-1
@AnnieOleary its not a starfleet oneĘ its not even a romulin oneĘ its like the random one i dont remember ha. and you cant wear it! lame,-1
OMG IM IN SUCH A BAD MOOD 2DAY Ę wats ppl doin2nite?,-1
Straighening my hair and its not going as straight as i want it to be what aĘ bummerrr for me,-1
Oww. Can't even describe how much my back hurts. Going to have to go to the stupid doctor.,-1
@MynameisDon I ALWAYS miss out! I wont be able to commence in the foolishness til' the fallĘ But come fall I'll be visiting!! YAY!!,-1
"&quot;Hi Im Jonathan from Spotify, 4 just 9.99 a month u cn have unlimited music w/ no interuptions&quot; But I luv r little chats J, dont leave me",1
"My poor heather, she didnt make the cheerleading squad. Im sorry babygirl. Maybe next year",-1
Aaaaahhhh.... Friday!!!! but....... Ę Ę Funeral at 5,-1
@WhitPR lol... i've been in Bk for over a year... going on 2 and u haven't come yet!!!,1
"I told andrew that JT is going to cameo @ MTV movie awards. He said, &quot;he's pissing me off.&quot; guess they're in a fight",-1
@deverĘ Hope you have a better weekend then..,1
@lamborghinibow u were doing good with the replys now u fallin off sad face,-1
@Nobilis I feel your pain. Mine is the same way,-1
@conorp its so sad! i wish i could stay longer! It the last time ill see you tonightĘ better not wear my make up!,-1
UGH! I have GOT TO STOP biting my nailsĘ grrrrr,-1
Wishes she had a pool,1
i'm soooo tired i have to study for all of my subjects ..... history is gonna be SO hard!!!! &gt;.&lt; help me!,-1
Its seriously quiet and lonely here without Bunny,-1
@IamABoogs oh plzzzzz u never had time for me!!!,-1
in class sick and hungry,-1
"@EllipticEyeĘ ....what did she EVER do to piss them off?Ę Ę I thought you just meant casting-related wank, not more of that crap.",-1
i got a replacement phone and now all my text messages and call history are gone.Ę I am sad.,-1
@chrlttgrc nope im nott! i was planning on doing but my aunties come over from america and we're havin this big family meal so i cantĘ xx,-1
@channisaulfah Not even better than Kapsel chaĘ Dy nulis notes? Spertinya gw ga ditag cuz g ada notificationnya... Huhu.,-1
@wowinsider noĘ Ę I kind of miss my first main. Ę Male Tauren Shaman named Icewater stuck at 61.Ę Maybe I'll fetch him one day.,-1
@wendilynnmakeup Good Morning! It's been a while since I've &quot;talked&quot; to you Ę - Keep up the awesome tweets.,1
Ugh i hate not having my car!! i miss you my little ford focus!!!,-1
@TearlessPoet hmmm really??? that's weird idk about that oneĘ sowwy,-1
"@PeterPolaco I'm guessing the belt thing is a no-go since I didn't hear back..SorryĘ Stop by this weekend, we'll talk bout the ring, etc.",-1
"aww twiter i miss you.. today i'll post a little more.. i mea, after the movie theater..ahah soo coold here",-1
@GrafittiMySoul Hell if I know. @callunax I'm suffering,-1
sourish limbs is preventing me from gg out on a friday. not happy. i haven't been on at 12am for a v long time...even more so on a fri,-1
Blah. Work at job one all day and job two all night.,-1
"@lauradawg LOL she is okay, its just he songs are so catchy they get stuck in my head",1
i'm worried because something bad happened today and i don't know what's gonna happen next.,-1
i'm getting ready for tonight (teachers dinner on the beach!) but it's raining and i hate this!,-1
45Th st pub anyone tonight? Dont want to be a lonely drunk tonight,1
The time is not my friend today,-1
@MustBeBenHughes hahah! sadly there is no current activity though in the room,-1
I wanna go see the cab really bad.,-1
"Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!",-1
"@BillyBush um, I think what I will miss the most is.. JAY LENO!!!!!!!!",-1
holy crap. where did all my time go? =/ gta4 has sucked away my life.. and wasted a whole week! ...i wish i had more self control,-1
@jephjacques my three most hated words are &quot;see you monday&quot;,-1
"Just been out to try to catch a swarm, gone into a roof gable end Ę Set up a bait hive an hoping for the best at the moment",1
ughhh seriously hung over,-1
why is it so fucking cold ??!,-1
@MishDance i miss your dance friends too.,-1
getting ready to go to IKEA. All alone cuz no one will go with me,-1
@tommcfly I don't know what to write anymore! My mind must be tired. It's past midnight here already. Do a tour in the Philippines?,-1
I do not feel good,-1
@Natalie_McLife yeah that is the one thing i hate about tweetdeck,-1
Cat is anxiously watching wild turkeys in my back yard....I think they have their eyes on my bunny rabbit,-1
"@mrs_mcsupergirl ok, finished set u free, and i am sooooo mad rite now...it cant end like that, i dont want him to be the bad guy",-1
@ME215 I know it's just a sprain. It's a repetitive injury for me.,-1
@geekgirl444 apparently so!Ę I'm falling apart in front of my eyes,-1
I wish I could get sushi delivered to work,1
I hate hiccups,-1
"such beautiful weather.. .why are u sick, baby ?Ę @ tanapolis",1
@ddlovato miss chatting with you,-1
"headache, headache, go away. come again another day....",-1
Time is going slow,-1
i wish my drems could come true,1
@stevenbward my interview if picked is NY too. But you probably forgot about me after blogtalk radio.,-1
.@petraeujane Too bad they never made it over here during the last ten years,-1
im at home....on a friday night.Ę but it's all good!,1
@Oblivion I know! I miss her...,-1
"tired and bored, watching movies while i'm home alone",-1
"Screw it goin back to bed,,ill just go tomorrow ,,,,,kinda sad",-1
hates putting in new contacts,-1
asks: did anyone possibly get a photo of me receiving my diploma? Dad's camera died right at that moment.,-1
Nt able to follow anyoneĘ friendorfollow.com here i come!!! #itsucks,-1
Huffy is not having a good day night or life. Poor baby,-1
@africanewtonxx oh my god. i can't do the end of the danceĘ *sob*,-1
"Ohhhh manĘ My mom got a bag of these caramel candy things, they're soooo good. I'm going to get so fat off of them ;__;",1
i hate interviews. im going to do horrible today,-1
@BrendonBudness unfortunatley it is the tooth kind of crown,-1
@yashved_2890 Nt able to follow anyoneĘ friendorfollow.com here i come!!! #itsucks,-1
@ShannonGrissom @grannypig #followfriday thank you!Ę I'm still not even close to what I had as @GottaLaff,1
I'm sad to have lost another person close to me to cancer,-1
Pissed that my bluetooth headset's battery out lasted my cell's battery... Gg moto q.,-1
"@RoxieDax Ten hours ago, I was was sleeping, sorry.",-1
@jane_l I blame you for 1/2 price Fridays replacing Free Book Fridays. They don't want you doing #rrtheatre anymore.,-1
Back is SORE... should not have done that jump last night,-1
Please don't forget us,-1
I really miss my phoneĘ i cant wait till my new one comes,-1
now the pic wont load up on twitter,-1
@fossiloflife was being sarcy as usual,-1
English exam! Bleh i hate vocab,-1
Just got laid offĘ stupid economy!,-1
bad hair day,-1
Shout out to my moms for wakin me up so prematurely! Preciate it,1
"Holy crap...Sharapova is taking a beating from an unseeded qualifier...ok, o back to doubles!",-1
@ToyStory2wasOk The party has to be moved to next weekendĘ ..stupid weather.,-1
Just read McDonald's is actually running more ads than before the economic slowdown. Great. I'm lovin it.,1
"@tommcfly Oh no! A lot of people are starting to tweet again! Hope you could still read our multiple tweetsĘ Philippines tour, please?",1
"Really good concepts at #mozconcept. I *really* love to send something mine, but no time",1
he killed everyone for nothing. :oĘ :-ss,-1
@jenberesford So sorry to hear about your mom! that really sucks,-1
Ugh - car got stolen sometime between yesterday evening and this morning when husband was due to go to workĘ Like we can afford this???,-1
My DegreeĘ [Tear] happy moment!Ę http://mypict.me/1ZpF,1
Have a happy Friday and weekend everyone .. TGIF for me is nothing,1
im sad about missing out on the opportunity to be in valencia's new video.,-1
"@mileycyrus I think i have same disorder, stay up al night 4 no reason n sleep al day !!Ę SUUUKS",-1
Leaving NOLA todayĘ Counting down the seconds 'til I start crying. Love this place so much.,1
@AnnaSaccone Seeing my friends and doing courseworkĘ I have the weekend off work so I am happy!,1
Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo,-1
"@alliemunchkin :3, Youtube loves my HD videosĘ well maybe.",1
"can't wait to get his hands on his new blackberry, this one is dying on me",-1
Searching apartments in Kaohsiung. Will go seeing the apartments on next Tuesday. Haven't found a good one with reasonable rent...,-1
"They had a site, then a blog, now they have the worst zoning/concept of the year - Heaven.fr, tell meh it's a fake",-1
@brooketastic my keys were cracking and crap. I kind of miss my old phone already.,-1
AHHHH! Cant find anything because I have way too much open,-1
"It has been 24 hours now, since I had my dog put to sleep.Ę RIP my old friend.",-1
i have such a sore head,-1
"@ashleytisdale have fun!!!!Ę i dont have school for a while, wish i could go to germany... its like 1 hour awayĘ xoxo",1
@windycitypretty that is sickening... Just shoot at will? Smh... Prayers for his family...,-1
gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?Ę *kay&lt;3*,-1
"@Annie713 It's ugly and gray outside even in San Diego. Not too cold, will get to 70, but May-gray June-gloom for us all",-1
@mommymbd nope anthony wrecked his car i have to help him get it running,-1
Can't believe this Shit! I've spend 30 minutes for for a snickers ice cream... Seems like no one does then anymore!,-1
My throat is killing me,-1
"I'm struggling today...Nola woke up at 3:30, so I'm running on no sleep.",-1
@thefremen Even IE8 would be better,1
Roasting to most probably death,-1
"Gus, formally known as world's ugliest dog has diedĘ We'll miss you, Gus http://bit.ly/exjcn",-1
Finally sunny days and I'm too sick to go outside and play.,-1
is back home nowĘ Ę Ę gonna miss every one,-1
so freaking tired.Ę It's like my body refuses to move.,-1
It's too hot.Ę I don't like it.,-1
Too hot. Station isn't packed but train packed. No windows open on train. Roasted sardines.,-1
Ugh worried about my math test,-1
I wish the weather would be slightly less rainy so I could use the hot tub.,1
I hate today.,-1
now my ds just diedĘ whatta letdown!,-1
My ipod has taken it's last breath... Im truly devastated. I have lost my public transportation companion,-1
just come in from the garden. It is very warm out there but beautiful. Didnt do much revision though,1
TGIF Resto here at home is dayuummm expensive!,-1
